START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
07/12/16,07:00 PM,08:00 PM,American at National,Petco Park - San Diego,"",07/12/16,07/12/16,10:00 PM,11:00 PM,FALSE,TRUE,07/12/16,06:00 PM,07:00 PM,FREE,BUSY
07/18/16,06:40 PM,08:40 PM,Rays at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",07/18/16,07/18/16,09:40 PM,11:40 PM,FALSE,TRUE,07/18/16,05:40 PM,07:40 PM,FREE,BUSY
07/19/16,06:40 PM,08:40 PM,Rays at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",07/19/16,07/19/16,09:40 PM,11:40 PM,FALSE,TRUE,07/19/16,05:40 PM,07:40 PM,FREE,BUSY
07/20/16,01:10 PM,03:10 PM,Rays at Rockies,Coors Field - Denver,"Local Radio: KOA 850- KNRV 1150",07/20/16,07/20/16,04:10 PM,06:10 PM,FALSE,TRUE,07/20/16,12:10 PM,02:10 PM,FREE,BUSY
07/21/16,06:40 PM,08:40 PM,Braves at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",07/21/16,07/21/16,09:40 PM,11:40 PM,FALSE,TRUE,07/21/16,05:40 PM,07:40 PM,FREE,BUSY
07/22/16,06:40 PM,08:40 PM,Braves at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",07/22/16,07/22/16,09:40 PM,11:40 PM,FALSE,TRUE,07/22/16,05:40 PM,07:40 PM,FREE,BUSY
07/23/16,06:10 PM,08:10 PM,Braves at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",07/23/16,07/23/16,09:10 PM,11:10 PM,FALSE,TRUE,07/23/16,05:10 PM,07:10 PM,FREE,BUSY
07/24/16,02:10 PM,04:10 PM,Braves at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",07/24/16,07/24/16,05:10 PM,07:10 PM,FALSE,TRUE,07/24/16,01:10 PM,03:10 PM,FREE,BUSY
08/02/16,06:40 PM,08:40 PM,Dodgers at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",08/02/16,08/02/16,09:40 PM,11:40 PM,FALSE,TRUE,08/02/16,05:40 PM,07:40 PM,FREE,BUSY
08/03/16,06:40 PM,08:40 PM,Dodgers at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",08/03/16,08/03/16,09:40 PM,11:40 PM,FALSE,TRUE,08/03/16,05:40 PM,07:40 PM,FREE,BUSY
08/04/16,06:40 PM,08:40 PM,Dodgers at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",08/04/16,08/04/16,09:40 PM,11:40 PM,FALSE,TRUE,08/04/16,05:40 PM,07:40 PM,FREE,BUSY
08/05/16,06:40 PM,08:40 PM,Marlins at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",08/05/16,08/05/16,09:40 PM,11:40 PM,FALSE,TRUE,08/05/16,05:40 PM,07:40 PM,FREE,BUSY
08/06/16,06:10 PM,08:10 PM,Marlins at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",08/06/16,08/06/16,09:10 PM,11:10 PM,FALSE,TRUE,08/06/16,05:10 PM,07:10 PM,FREE,BUSY
08/07/16,02:10 PM,04:10 PM,Marlins at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",08/07/16,08/07/16,05:10 PM,07:10 PM,FALSE,TRUE,08/07/16,01:10 PM,03:10 PM,FREE,BUSY
08/08/16,06:40 PM,08:40 PM,Rangers at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",08/08/16,08/08/16,09:40 PM,11:40 PM,FALSE,TRUE,08/08/16,05:40 PM,07:40 PM,FREE,BUSY
08/09/16,01:10 PM,03:10 PM,Rangers at Rockies,Coors Field - Denver,"Local Radio: KOA 850- KNRV 1150",08/09/16,08/09/16,04:10 PM,06:10 PM,FALSE,TRUE,08/09/16,12:10 PM,02:10 PM,FREE,BUSY
08/15/16,06:40 PM,08:40 PM,Nationals at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",08/15/16,08/15/16,09:40 PM,11:40 PM,FALSE,TRUE,08/15/16,05:40 PM,07:40 PM,FREE,BUSY
08/16/16,06:40 PM,08:40 PM,Nationals at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",08/16/16,08/16/16,09:40 PM,11:40 PM,FALSE,TRUE,08/16/16,05:40 PM,07:40 PM,FREE,BUSY
08/17/16,01:10 PM,03:10 PM,Nationals at Rockies,Coors Field - Denver,"Local Radio: KOA 850- KNRV 1150",08/17/16,08/17/16,04:10 PM,06:10 PM,FALSE,TRUE,08/17/16,12:10 PM,02:10 PM,FREE,BUSY
08/19/16,06:40 PM,08:40 PM,Cubs at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",08/19/16,08/19/16,09:40 PM,11:40 PM,FALSE,TRUE,08/19/16,05:40 PM,07:40 PM,FREE,BUSY
08/20/16,06:10 PM,08:10 PM,Cubs at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",08/20/16,08/20/16,09:10 PM,11:10 PM,FALSE,TRUE,08/20/16,05:10 PM,07:10 PM,FREE,BUSY
08/21/16,02:10 PM,04:10 PM,Cubs at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",08/21/16,08/21/16,05:10 PM,07:10 PM,FALSE,TRUE,08/21/16,01:10 PM,03:10 PM,FREE,BUSY
08/29/16,06:40 PM,08:40 PM,Dodgers at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",08/29/16,08/29/16,09:40 PM,11:40 PM,FALSE,TRUE,08/29/16,05:40 PM,07:40 PM,FREE,BUSY
08/30/16,06:40 PM,08:40 PM,Dodgers at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",08/30/16,08/30/16,09:40 PM,11:40 PM,FALSE,TRUE,08/30/16,05:40 PM,07:40 PM,FREE,BUSY
08/31/16,01:10 PM,03:10 PM,Dodgers at Rockies,Coors Field - Denver,"Local Radio: KOA 850- KNRV 1150",08/31/16,08/31/16,04:10 PM,06:10 PM,FALSE,TRUE,08/31/16,12:10 PM,02:10 PM,FREE,BUSY
09/02/16,06:40 PM,08:40 PM,D-backs at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",09/02/16,09/02/16,09:40 PM,11:40 PM,FALSE,TRUE,09/02/16,05:40 PM,07:40 PM,FREE,BUSY
09/03/16,06:10 PM,08:10 PM,D-backs at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",09/03/16,09/03/16,09:10 PM,11:10 PM,FALSE,TRUE,09/03/16,05:10 PM,07:10 PM,FREE,BUSY
09/04/16,02:10 PM,04:10 PM,D-backs at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",09/04/16,09/04/16,05:10 PM,07:10 PM,FALSE,TRUE,09/04/16,01:10 PM,03:10 PM,FREE,BUSY
09/05/16,02:10 PM,04:10 PM,Giants at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",09/05/16,09/05/16,05:10 PM,07:10 PM,FALSE,TRUE,09/05/16,01:10 PM,03:10 PM,FREE,BUSY
09/06/16,06:40 PM,08:40 PM,Giants at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",09/06/16,09/06/16,09:40 PM,11:40 PM,FALSE,TRUE,09/06/16,05:40 PM,07:40 PM,FREE,BUSY
09/07/16,06:40 PM,08:40 PM,Giants at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",09/07/16,09/07/16,09:40 PM,11:40 PM,FALSE,TRUE,09/07/16,05:40 PM,07:40 PM,FREE,BUSY
09/16/16,06:40 PM,08:40 PM,Padres at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",09/16/16,09/16/16,09:40 PM,11:40 PM,FALSE,TRUE,09/16/16,05:40 PM,07:40 PM,FREE,BUSY
09/17/16,06:10 PM,08:10 PM,Padres at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",09/17/16,09/17/16,09:10 PM,11:10 PM,FALSE,TRUE,09/17/16,05:10 PM,07:10 PM,FREE,BUSY
09/18/16,02:10 PM,04:10 PM,Padres at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",09/18/16,09/18/16,05:10 PM,07:10 PM,FALSE,TRUE,09/18/16,01:10 PM,03:10 PM,FREE,BUSY
09/19/16,06:40 PM,08:40 PM,Cardinals at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",09/19/16,09/19/16,09:40 PM,11:40 PM,FALSE,TRUE,09/19/16,05:40 PM,07:40 PM,FREE,BUSY
09/20/16,06:40 PM,08:40 PM,Cardinals at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",09/20/16,09/20/16,09:40 PM,11:40 PM,FALSE,TRUE,09/20/16,05:40 PM,07:40 PM,FREE,BUSY
09/21/16,01:10 PM,03:10 PM,Cardinals at Rockies,Coors Field - Denver,"Local Radio: KOA 850- KNRV 1150",09/21/16,09/21/16,04:10 PM,06:10 PM,FALSE,TRUE,09/21/16,12:10 PM,02:10 PM,FREE,BUSY
09/30/16,06:10 PM,08:10 PM,Brewers at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",09/30/16,09/30/16,09:10 PM,11:10 PM,FALSE,TRUE,09/30/16,05:10 PM,07:10 PM,FREE,BUSY
10/01/16,06:10 PM,08:10 PM,Brewers at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",10/01/16,10/01/16,09:10 PM,11:10 PM,FALSE,TRUE,10/01/16,05:10 PM,07:10 PM,FREE,BUSY
10/02/16,01:10 PM,03:10 PM,Brewers at Rockies,Coors Field - Denver,"Local TV: ROOT SPORTS ----- Local Radio: KOA 850- KNRV 1150",10/02/16,10/02/16,04:10 PM,06:10 PM,FALSE,TRUE,10/02/16,12:10 PM,02:10 PM,FREE,BUSY
